券商買賣證券成交價量資訊
證券代碼,5443
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
"1","1020  合庫","13.05","50,000","0",,"2","1021  合庫台中","12.75","6,000","0"
"3","1021  合庫台中","13.00","20,000","10,000",,"4","1021  合庫台中","13.05","0","1,000"
"5","1021  合庫台中","13.10","0","3,000",,"6","1022  合庫台南","13.10","0","2,000"
"7","1023  合庫高雄","13.05","2,000","0",,"8","1023  合庫高雄","13.10","12,000","0"
"9","1025  合庫基隆","13.05","0","2,000",,"10","1028  合庫彰化","12.80","0","1,000"
"11","1028  合庫彰化","12.90","20,000","1,000",,"12","1028  合庫彰化","12.95","0","1,000"
"13","1028  合庫彰化","13.10","20,000","0",,"14","1028  合庫彰化","13.15","20,000","0"
"15","102C  合庫自強","12.75","2,000","0",,"16","102C  合庫自強","13.00","1,000","0"
"17","102C  合庫自強","13.10","1,000","0",,"18","102E  合庫東桃園","13.00","30,000","0"
"19","102E  合庫東桃園","13.05","7,000","0",,"20","102E  合庫東桃園","13.15","20,000","0"
"21","1035  土銀新竹","13.00","0","12,000",,"22","1035  土銀新竹","13.05","0","3,000"
"23","1036  土銀玉里","12.95","10,000","0",,"24","1036  土銀玉里","13.00","0","2,000"
"25","1037  土銀花蓮","13.05","0","1,000",,"26","103A  土銀建國","12.95","3,000","0"
"27","103A  土銀建國","13.00","2,000","4,000",,"28","103A  土銀建國","13.10","0","1,000"
"29","1040  臺銀證券","12.75","4,000","0",,"30","1040  臺銀證券","13.00","0","1,000"
"31","1041  臺銀鳳山","13.05","0","2,000",,"32","1041  臺銀鳳山","13.10","13,000","0"
"33","1042  臺銀臺南","13.00","2,000","0",,"34","1043  臺銀民權","13.00","1,000","0"
"35","1043  臺銀民權","13.05","25,000","8,000",,"36","1043  臺銀民權","13.10","50,000","0"
"37","104A  臺銀臺中","12.95","6,000","0",,"38","104A  臺銀臺中","13.05","0","10,000"
"39","104C  臺銀高雄","12.75","14,000","0",,"40","104D  臺銀金山","12.90","26,000","0"
"41","104D  臺銀金山","12.95","23,000","0",,"42","104D  臺銀金山","13.00","2,000","3,000"
"43","104D  臺銀金山","13.05","12,000","0",,"44","104D  臺銀金山","13.10","7,000","0"
"45","1090  工銀證","12.95","0","3,000",,"46","1091  工銀證台中","12.75","0","1,000"
"47","1091  工銀證台中","12.90","10,000","0",,"48","1091  工銀證台中","12.95","1,000","1,000"
"49","1091  工銀證台中","13.00","10,000","0",,"50","1095  工銀證桃園","13.05","15,000","0"
"51","1096  工銀證板橋","12.75","3,000","0",,"52","1096  工銀證板橋","12.95","0","10,000"
"53","1096  工銀證板橋","13.00","0","10,000",,"54","1097  工銀證高雄","12.95","5,000","0"
"55","1097  工銀證高雄","13.00","0","5,000",,"56","1097  工銀證高雄","13.10","0","5,000"
"57","109A  工銀證城中","12.75","10,000","0",,"58","109A  工銀證城中","12.90","0","4,000"
"59","109A  工銀證城中","12.95","0","10,000",,"60","1110  台企銀","12.95","0","1,000"
"61","1111  台企銀台中","12.90","7,000","0",,"62","1111  台企銀台中","13.10","0","2,000"
"63","1115  台企銀太平","12.90","0","20,000",,"64","1115  台企銀太平","13.00","10,000","0"
"65","1116  台企銀屏東","13.00","0","4,000",,"66","1116  台企銀屏東","13.10","1,000","0"
"67","1117  台企銀竹北","12.95","0","6,000",,"68","1117  台企銀竹北","13.00","0","7,000"
"69","1118  台企銀豐原","13.00","0","4,000",,"70","111A  台企銀民雄","12.75","4,000","0"
"71","111A  台企銀民雄","13.10","3,000","0",,"72","111B  台企銀建成","13.00","0","10,000"
"73","111B  台企銀建成","13.05","10,000","0",,"74","111D  台企銀台北","13.00","10,000","8,000"
"75","111D  台企銀台北","13.15","0","5,000",,"76","111E  台企銀桃園","12.95","4,000","0"
"77","111E  台企銀桃園","13.00","50,000","0",,"78","111E  台企銀桃園","13.05","35,000","0"
"79","111E  台企銀桃園","13.10","15,000","0",,"80","111G  臺企銀埔墘","12.75","0","1,000"
"81","111G  臺企銀埔墘","13.15","3,000","0",,"82","1160  日盛","12.75","4,000","0"
"83","1160  日盛","12.90","2,000","0",,"84","1160  日盛","13.00","5,000","0"
"85","1160  日盛","13.05","11,000","0",,"86","1160  日盛","13.10","19,000","0"
"87","1161  日盛忠孝","13.00","24,003","0",,"88","1161  日盛忠孝","13.05","1,000","0"
"89","1161  日盛忠孝","13.10","0","24,000",,"90","1163  日盛台中","12.75","8,000","0"
"91","1163  日盛台中","13.00","0","8,000",,"92","1163  日盛台中","13.05","3,000","0"
"93","1164  日盛內湖","13.05","5,000","0",,"94","1164  日盛內湖","13.10","6,000","0"
"95","1165  日盛板橋","13.00","0","3,000",,"96","1165  日盛板橋","13.05","0","2,000"
"97","1165  日盛板橋","13.15","0","8,000",,"98","1166  日盛雙和","12.95","0","20,000"
"99","1166  日盛雙和","13.05","4,000","0",,"100","1166  日盛雙和","13.10","0","1,000"
"101","1167  日盛嘉義","12.95","0","2,000",,"102","1168  日盛高雄","13.00","2,000","0"
"103","1168  日盛高雄","13.05","1,000","0",,"104","1169  日盛士林","12.75","1,000","0"
"105","116A  日盛木柵","12.75","10,000","1,000",,"106","116A  日盛木柵","13.00","3,000","20,000"
"107","116B  日盛中壢","13.00","3,000","0",,"108","116B  日盛中壢","13.10","2,000","0"
"109","116C  日盛八德","13.00","0","277",,"110","116C  日盛八德","13.05","72,000","0"
"111","116C  日盛八德","13.10","0","10,000",,"112","116E  日盛三重","12.75","0","10,000"
"113","116E  日盛三重","12.90","0","3,000",,"114","116E  日盛三重","13.00","2,000","0"
"115","116E  日盛三重","13.05","2,000","0",,"116","116F  日盛員林","12.90","1,000","0"
"117","116F  日盛員林","12.95","26,000","0",,"118","116F  日盛員林","13.00","5,000","0"
"119","116F  日盛員林","13.05","4,000","0",,"120","116F  日盛員林","13.10","0","11,000"
"121","116G  日盛景美","12.90","4,000","0",,"122","116G  日盛景美","13.05","0","9,000"
"123","116G  日盛景美","13.10","0","4,000",,"124","116G  日盛景美","13.15","0","3,000"
"125","116G  日盛景美","13.20","2,000","0",,"126","116H  日盛新竹","12.95","2,000","0"
"127","116H  日盛新竹","13.10","3,000","0",,"128","116I  日盛南京","13.05","1,000","0"
"129","116I  日盛南京","13.10","0","5,000",,"130","116J  日盛板中","12.75","60,000","0"
